-183.199, 78.434, 1.358,  1.765
-183.185, 78.390, 1.361,  1.798
-183.171, 78.347, 1.364,  1.831
-183.157, 78.304, 1.366,  1.864
-183.143, 78.260, 1.369,  1.897
-183.128, 78.217, 1.371,  1.930
-183.114, 78.173, 1.374,  1.963
-183.100, 78.130, 1.376,  1.996
-183.086, 78.086, 1.379,  2.029
-183.072, 78.042, 1.382,  2.062
-183.058, 77.998, 1.385,  2.095
-183.044, 77.954, 1.388,  2.128
-183.030, 77.910, 1.392,  2.161
-183.016, 77.865, 1.395,  2.194
-183.002, 77.821, 1.399,  2.227
-182.988, 77.776, 1.403,  2.260
-182.974, 77.732, 1.407,  2.293
-182.960, 77.687, 1.412,  2.326
-182.946, 77.641, 1.416,  2.359
-182.932, 77.596, 1.421,  2.392
-182.919, 77.551, 1.425,  2.425
-182.905, 77.505, 1.429,  2.458
-182.891, 77.459, 1.434,  2.491
-182.878, 77.414, 1.438,  2.524
-182.864, 77.367, 1.443,  2.557
-182.850, 77.321, 1.447,  2.590
-182.837, 77.275, 1.451,  2.623
-182.823, 77.228, 1.456,  2.656
-182.810, 77.181, 1.460,  2.689
-182.796, 77.135, 1.464,  2.722
-182.783, 77.087, 1.469,  2.755
-182.770, 77.040, 1.473,  2.788
-182.756, 76.993, 1.477,  2.821
-182.743, 76.945, 1.481,  2.854
-182.730, 76.898, 1.486,  2.887
-182.717, 76.850, 1.490,  2.920
-182.704, 76.802, 1.494,  2.953
-182.691, 76.753, 1.498,  2.986
-182.678, 76.705, 1.503,  3.019
-182.665, 76.657, 1.507,  3.052
-182.653, 76.608, 1.511,  3.085
-182.640, 76.559, 1.516,  3.118
-182.627, 76.510, 1.520,  3.151
-182.615, 76.461, 1.524,  3.184
-182.602, 76.411, 1.529,  3.217
-182.589, 76.362, 1.533,  3.250
-182.577, 76.312, 1.538,  3.283
-182.565, 76.262, 1.542,  3.316
-182.552, 76.212, 1.547,  3.349
-182.540, 76.162, 1.551,  3.382
-182.528, 76.112, 1.556,  3.415
-182.516, 76.061, 1.560,  3.448
-182.504, 76.010, 1.565,  3.481
-182.492, 75.959, 1.570,  3.514
-182.480, 75.908, 1.574,  3.547
-182.468, 75.857, 1.579,  3.580
-182.457, 75.805, 1.584,  3.613
-182.445, 75.754, 1.589,  3.646
-182.433, 75.702, 1.593,  3.679
-182.422, 75.650, 1.598,  3.712
-182.410, 75.598, 1.603,  3.745
-182.399, 75.545, 1.608,  3.778
-182.388, 75.493, 1.612,  3.811
-182.376, 75.440, 1.617,  3.844
-182.365, 75.387, 1.622,  3.877
-182.354, 75.334, 1.627,  3.910
-182.343, 75.281, 1.631,  3.943
-182.332, 75.227, 1.636,  3.976
-182.321, 75.174, 1.641,  4.009
-182.311, 75.120, 1.646,  4.042
-182.300, 75.066, 1.651,  4.075
-182.289, 75.012, 1.656,  4.108
-182.279, 74.958, 1.661,  4.141
-182.268, 74.903, 1.666,  4.174
-182.258, 74.848, 1.671,  4.207
-182.247, 74.793, 1.676,  4.240
-182.237, 74.738, 1.681,  4.273
-182.227, 74.683, 1.686,  4.306
-182.217, 74.627, 1.691,  4.339
-182.207, 74.572, 1.696,  4.372
-182.197, 74.516, 1.701,  4.405
-182.187, 74.460, 1.706,  4.438
-182.177, 74.404, 1.711,  4.471
-182.168, 74.347, 1.716,  4.504
-182.158, 74.291, 1.721,  4.537
-182.149, 74.234, 1.726,  4.570
